Supplier name;Transaction value;Transaction date;Supplier org number;Supplier country;Revenue;ebit;ebit_margin;financial_data_year
GENERAL MANUFACTURING EQUIPMENT AS;2523235,225;2020-04-04;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;2491761,181;2019-04-28;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;2466024,516;2017-07-08;5560500398;Sweden;0;72163049,56;0;2017
GENERAL MANUFACTURING EQUIPMENT AS;2462033,483;2019-08-01;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2461455,006;2020-02-06;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;2446804,122;2020-07-11;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;2442611,901;2018-08-18;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
OKTAPACK AB;2435196,974;2017-09-19;5560500398;Sweden;0;72163049,56;0;2017
GENERAL MANUFACTURING EQUIPMENT AS;2433277,707;2018-08-13;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
OKTAPACK AB;2425215,282;2019-11-30;5560500398;Sweden;0;70295450,37;0;2019
GENERAL MANUFACTURING EQUIPMENT AS;2401348,34;2019-07-08;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2400096,477;2019-03-21;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;2398782,999;2020-02-26;5560500398;Sweden;1838488817;71269332,43;0,03876517;2020
GENERAL MANUFACTURING EQUIPMENT AS;2395310,21;2019-12-29;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;2392801,728;2017-01-19;5560500398;Sweden;0;72163049,56;0;2017
GENERAL MANUFACTURING EQUIPMENT AS;2390619,606;2020-03-10;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
OKTAPACK AB;2389774,5;2020-08-17;5560500398;Sweden;1838488817;71269332,43;0,03876517;2020
GENERAL MANUFACTURING EQUIPMENT AS;2377290,931;2019-07-19;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2371580,795;2020-04-11;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;2370020,514;2019-04-07;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2352420,724;2019-10-09;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;2346285,121;2017-06-21;5560500398;Sweden;0;72163049,56;0;2017
GENERAL MANUFACTURING EQUIPMENT AS;2341942,769;2019-02-11;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2332811,846;2020-12-21;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;2329212,91;2017-02-13;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
OKTAPACK AB;2322305,981;2019-12-29;5560500398;Sweden;0;70295450,37;0;2019
GENERAL MANUFACTURING EQUIPMENT AS;2317304,345;2017-03-26;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
OKTAPACK AB;2316943,439;2019-05-07;5560500398;Sweden;0;70295450,37;0;2019
OKTAPACK AB;2312529,451;2019-06-05;5560500398;Sweden;0;70295450,37;0;2019
OKTAPACK AB;2308012,46;2017-04-13;5560500398;Sweden;0;72163049,56;0;2017
GENERAL MANUFACTURING EQUIPMENT AS;2283078,624;2020-04-29;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
OKTAPACK AB;2278854,945;2020-02-04;5560500398;Sweden;1838488817;71269332,43;0,03876517;2020
OKTAPACK AB;2278408,656;2017-08-02;5560500398;Sweden;0;72163049,56;0;2017
OKTAPACK AB;2272437,737;2017-12-29;5560500398;Sweden;0;72163049,56;0;2017
GENERAL MANUFACTURING EQUIPMENT AS;2257645,448;2020-04-06;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;2239377,682;2017-03-07;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2233172,836;2020-06-06;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;2221293,072;2020-08-17;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
OKTAPACK AB;2211157,733;2019-05-29;5560500398;Sweden;0;70295450,37;0;2019
GENERAL MANUFACTURING EQUIPMENT AS;2201870,674;2019-08-23;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;2169514,708;2017-11-04;5560500398;Sweden;0;72163049,56;0;2017
OKTAPACK AB;2156481,387;2019-02-13;5560500398;Sweden;0;70295450,37;0;2019
OKTAPACK AB;2121185,088;2019-09-11;5560500398;Sweden;0;70295450,37;0;2019
GENERAL MANUFACTURING EQUIPMENT AS;2101404,797;2019-08-31;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;2095993,282;2019-06-01;5560500398;Sweden;0;70295450,37;0;2019
GENERAL MANUFACTURING EQUIPMENT AS;2093035,129;2019-04-30;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2070423,8;2019-02-11;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;2062770,901;2017-05-17;5560500398;Sweden;0;72163049,56;0;2017
GENERAL MANUFACTURING EQUIPMENT AS;2030850,762;2019-12-07;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;2020338,642;2017-07-23;5560500398;Sweden;0;72163049,56;0;2017
GENERAL MANUFACTURING EQUIPMENT AS;2016228,982;2019-05-20;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2005703,641;2019-05-20;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;1969013,563;2018-02-18;5560500398;Sweden;0;57545170,53;0;2018
OKTAPACK AB;1928962,446;2018-09-01;5560500398;Sweden;0;57545170,53;0;2018
GENERAL MANUFACTURING EQUIPMENT AS;1927417,215;2017-12-23;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
OKTAPACK AB;1915237,702;2018-12-19;5560500398;Sweden;0;57545170,53;0;2018
OKTAPACK AB;1896965,527;2018-08-12;5560500398;Sweden;0;57545170,53;0;2018
OKTAPACK AB;1844397,979;2018-07-07;5560500398;Sweden;0;57545170,53;0;2018
OKTAPACK AB;1828248,664;2018-04-10;5560500398;Sweden;0;57545170,53;0;2018
GENERAL MANUFACTURING EQUIPMENT AS;1822495,586;2019-12-13;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;1779273,046;2018-02-11;5560500398;Sweden;0;57545170,53;0;2018
GAS TANKS INC.;1766730,98;2020-07-16;945772042;Norway;97694756,09;13662345,14;0,139847272;2020
GAS TANKS INC.;1721923,29;2020-12-18;945772042;Norway;97694756,09;13662345,14;0,139847272;2020
GAS TANKS INC.;1715092,85;2020-05-14;945772042;Norway;97694756,09;13662345,14;0,139847272;2020
GAS TANKS INC.;1706299,15;2020-04-12;945772042;Norway;97694756,09;13662345,14;0,139847272;2020
GAS TANKS INC.;1697155,25;2020-11-01;945772042;Norway;97694756,09;13662345,14;0,139847272;2020
GAS TANKS INC.;1689732,73;2020-10-26;945772042;Norway;97694756,09;13662345,14;0,139847272;2020
GAS TANKS INC.;1683123,57;2020-02-08;945772042;Norway;97694756,09;13662345,14;0,139847272;2020
GAS TANKS INC.;1678647,34;2020-09-28;945772042;Norway;97694756,09;13662345,14;0,139847272;2020
GAS TANKS INC.;1673353,44;2020-02-16;945772042;Norway;97694756,09;13662345,14;0,139847272;2020
GENERAL MANUFACTURING EQUIPMENT AS;1657948,774;2017-08-09;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
OKTAPACK AB;1654617,779;2018-09-14;5560500398;Sweden;0;57545170,53;0;2018
OKTAPACK AB;1649951,842;2018-02-03;5560500398;Sweden;0;57545170,53;0;2018
OKTAPACK AB;1642752,023;2018-09-09;5560500398;Sweden;0;57545170,53;0;2018
GENERAL MANUFACTURING EQUIPMENT AS;1634511,992;2018-04-16;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1613643,747;2020-11-14;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GAS TANKS INC.;1590037,26;2020-12-09;945772042;Norway;97694756,09;13662345,14;0,139847272;2020
GENERAL MANUFACTURING EQUIPMENT AS;1581761,588;2020-11-03;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GAS TANKS INC.;1572696,39;2020-02-06;945772042;Norway;97694756,09;13662345,14;0,139847272;2020
GENERAL MANUFACTURING EQUIPMENT AS;1542970,888;2020-03-24;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;1534139,911;2019-02-17;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GAS TANKS INC.;1518580,38;2020-12-12;945772042;Norway;97694756,09;13662345,14;0,139847272;2020
GENERAL MANUFACTURING EQUIPMENT AS;1494852,657;2018-10-30;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
OKTAPACK AB;1491370,492;2018-06-16;5560500398;Sweden;0;57545170,53;0;2018
GENERAL MANUFACTURING EQUIPMENT AS;1490876,504;2018-11-05;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1483047,876;2020-04-18;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;1476958,695;2017-07-12;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;1472612,725;2020-09-27;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;1458513,748;2017-09-01;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;1457377,895;2019-11-26;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
CLEAN FACILITY AS;1448990,852;2019-01-05;914791723;Norway;590018869,7;35389315,87;0,059979973;2019
GENERAL MANUFACTURING EQUIPMENT AS;1431683,378;2019-07-06;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;1421571,034;2017-06-22;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;1420345,392;2018-11-08;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1412944,202;2018-06-25;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1409041,485;2018-09-27;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1397592,24;2017-02-26;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;1395646,89;2017-04-09;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;1383373,175;2018-05-13;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1376555,406;2020-09-22;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;1374719,031;2020-09-02;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;1373697,245;2020-08-29;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;1363295,769;2018-07-21;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1360172,207;2019-05-13;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GAS TANKS INC.;1353995,22;2017-04-28;945772042;Norway;100156233,8;7324105,165;0,073126803;2017
GENERAL MANUFACTURING EQUIPMENT AS;1352326,517;2020-04-21;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;1349612,067;2020-09-23;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;1343770,132;2018-11-06;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1338390,123;2018-04-27;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1337784,354;2020-05-03;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;1332020,921;2018-02-11;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1331925,278;2018-12-17;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1331538,231;2018-12-25;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1330240,604;2020-07-06;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;1328276,98;2018-08-27;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1328182,975;2018-09-10;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1323063,253;2017-12-27;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;1304138,645;2020-09-21;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;1302740,668;2018-07-06;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1301772,801;2018-10-15;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;1299952,734;2019-12-12;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;1298470,515;2019-04-12;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;1297724,076;2018-04-15;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
